compressed_length,# of queries
49,3
51,15
52,3
54,3
55,1
56,7
57,3
58,5
59,7
60,2
61,7
62,5
63,1
64,1
65,6
66,8
67,11
68,15
69,18
70,23
71,17
72,23
73,31
74,25
75,22
76,34
77,32
78,15
79,25
80,44
81,36
82,54
83,48
84,55
85,74
86,101
87,86
88,80
89,138
90,128
91,126
92,127
93,157
94,167
95,184
96,162
97,143
98,156
99,142
100,145
101,120
102,143
103,125
104,110
105,143
106,151
107,137
108,165
109,176
110,168
111,159
112,177
113,165
114,179
115,188
116,156
117,147
118,143
119,165
120,145
121,154
122,162
123,173
124,173
125,145
126,182
127,154
128,170
129,150
130,151
131,187
132,149
133,170
134,131
135,136
136,168
137,171
138,163
139,176
140,151
141,139
142,135
143,141
144,136
145,140
146,130
147,138
148,150
149,133
150,138
151,142
152,92
153,120
154,111
155,111
156,112
157,110
158,121
159,101
160,116
161,108
162,114
163,140
164,128
165,113
166,81
167,81
168,103
169,119
170,115
171,148
172,117
173,114
174,100
175,120
176,131
177,109
178,114
179,128
180,116
181,126
182,82
183,95
184,79
185,119
186,102
187,84
188,97
189,91
190,74
191,63
192,77
193,58
194,65
195,71
196,89
197,63
198,56
199,71
200,60
201,45
202,50
203,54
204,39
205,49
206,35
207,26
208,38
209,39
210,31
211,33
212,44
213,43
214,43
215,43
216,48
217,44
218,31
219,63
220,40
221,40
222,33
223,32
224,36
225,47
226,28
227,40
228,38
229,49
230,39
231,36
232,37
233,32
234,37
235,30
236,25
237,31
238,37
239,34
240,24
241,42
242,36
243,30
244,37
245,29
246,23
247,29
248,30
249,21
250,29
251,22
252,36
253,14
254,17
255,12
256,17
257,4
258,22
259,16
260,23
261,9
262,18
263,27
264,18
265,20
266,18
267,16
268,14
269,20
270,15
271,13
272,18
273,15
274,19
275,22
276,28
277,22
278,25
279,16
280,15
281,6
282,12
283,19
284,23
285,16
286,21
287,10
288,14
289,27
290,18
291,25
292,19
293,9
294,5
295,12
296,23
297,15
298,9
299,9
300,12
301,10
302,13
303,13
304,13
305,9
306,14
307,14
308,17
309,6
310,10
311,9
312,14
313,14
314,14
315,15
316,16
317,11
318,7
319,7
320,4
321,3
322,8
323,13
324,7
325,6
326,8
327,5
328,5
329,9
330,9
331,9
332,3
333,7
334,7
335,5
336,2
337,5
338,7
339,2
340,9
341,8
342,2
343,7
344,5
345,4
346,6
347,5
348,2
349,3
350,8
351,10
352,8
353,9
354,9
355,2
356,5
357,6
358,6
359,4
360,3
361,7
362,2
363,5
364,12
365,5
366,9
367,6
368,7
369,5
370,11
371,3
372,4
373,4
374,6
375,10
377,2
378,1
379,6
380,1
381,3
382,3
383,1
384,5
385,5
386,3
387,1
388,1
390,3
391,4
392,1
393,4
394,1
395,2
396,2
397,4
398,2
399,5
400,2
402,5
403,1
404,1
405,2
406,2
409,2
411,1
413,2
414,2
415,4
416,3
417,1
418,1
421,1
423,1
424,1
425,1
426,2
427,2
428,1
429,5
430,1
431,2
433,1
435,2
436,2
437,3
438,2
439,2
440,2
442,1
444,1
447,1
451,2
452,2
453,1
459,1
460,1
462,3
463,1
464,2
465,1
467,2
469,2
470,1
471,1
472,1
474,2
476,1
478,1
479,1
481,1
482,1
483,2
484,1
485,1
486,3
488,1
489,1
492,2
493,1
494,1
496,1
497,1
499,1
500,1
501,1
503,2
506,2
507,1
508,3
511,1
512,1
513,2
514,2
515,3
517,2
518,2
519,2
520,1
521,1
522,2
523,1
525,3
526,2
527,1
528,4
529,3
533,1
535,1
536,1
537,1
542,1
545,1
546,2
551,1
554,1
556,1
558,2
559,1
560,2
561,1
562,2
564,1
565,1
566,2
567,4
568,1
570,2
571,1
572,3
573,3
574,1
575,2
576,1
577,1
579,1
580,1
583,1
585,4
586,2
587,2
588,1
597,1
598,1
599,1
605,1
608,1
609,1
611,1
613,2
614,1
615,1
616,1
618,1
620,1
630,1
634,1
635,1
636,1
639,1
642,2
2709,1
662,1
665,1
670,1
677,1
680,1
686,1
687,1
692,1
700,1
707,1
713,3
717,1
718,1
720,1
737,1
739,1
744,1
745,2
748,1
749,1
813,1
818,1
819,1
824,2
829,2
831,1
834,1
896,1
915,1
1982,1
